,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,LB,obj,metodo,tempo,semente,GAP
1145,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_bfd fm,77.61261224746704,1700,0.19480519480519481
1146,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd cm_fm,77.80471229553223,1700,0.12987012987012986
1147,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd fm_cm,77.71960043907166,1700,0.12987012987012986
1148,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_ffd cm,76.84277844429016,1700,0.19480519480519481
1149,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,98,criasemlim_ffd fm,77.0284378528595,1700,0.2727272727272727
1150,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_ffd cm_fm,76.86399960517883,1700,0.19480519480519481
1151,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_ffd fm_cm,76.89751744270325,1700,0.19480519480519481
1152,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,kapov_bfd cm,77.2039704322815,1800,0.12987012987012986
1153,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,kapov_bfd fm,77.06490159034729,1800,0.19480519480519481
1154,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,kapov_bfd cm_fm,77.08737397193909,1800,0.12987012987012986
1155,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,kapov_bfd fm_cm,77.17469573020935,1800,0.12987012987012986
1156,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,91,kapov_ffd cm,77.89796090126038,1800,0.18181818181818182
1157,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,98,kapov_ffd fm,77.38145208358765,1800,0.2727272727272727
1158,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,91,kapov_ffd cm_fm,78.04154753684998,1800,0.18181818181818182
1159,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,91,kapov_ffd fm_cm,77.88175439834595,1800,0.18181818181818182
1160,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,84,criaantes_bfd cm,77.43488574028015,1800,0.09090909090909091
1161,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,89,criaantes_bfd fm,77.30416536331177,1800,0.15584415584415584
1162,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,84,criaantes_bfd cm_fm,77.31443810462952,1800,0.09090909090909091
1163,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,84,criaantes_bfd fm_cm,77.25789785385132,1800,0.09090909090909091
1164,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,88,criaantes_ffd cm,77.49514079093933,1800,0.14285714285714285
1165,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,93,criaantes_ffd fm,77.04922842979431,1800,0.2077922077922078
1166,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,88,criaantes_ffd cm_fm,77.56364059448242,1800,0.14285714285714285
1167,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,88,criaantes_ffd fm_cm,77.47877931594849,1800,0.14285714285714285
1168,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd cm,77.53386926651001,1800,0.12987012987012986
1169,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,criasemlim_bfd fm,77.67559623718262,1800,0.19480519480519481
1170,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd cm_fm,77.67694211006165,1800,0.12987012987012986
1171,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,criasemlim_bfd fm_cm,77.80873513221741,1800,0.12987012987012986
1172,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,91,criasemlim_ffd cm,76.6774389743805,1800,0.18181818181818182
1173,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,98,criasemlim_ffd fm,77.06907773017883,1800,0.2727272727272727
1174,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,91,criasemlim_ffd cm_fm,76.56342196464539,1800,0.18181818181818182
1175,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,91,criasemlim_ffd fm_cm,76.75993084907532,1800,0.18181818181818182
1176,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,kapov_bfd cm,77.47521662712097,1900,0.12987012987012986
1177,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,kapov_bfd fm,77.08287692070007,1900,0.19480519480519481
1178,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,kapov_bfd cm_fm,77.70863771438599,1900,0.12987012987012986
1179,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,87,kapov_bfd fm_cm,77.54793238639832,1900,0.12987012987012986
1180,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,kapov_ffd cm,76.51857113838196,1900,0.19480519480519481
1181,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,98,kapov_ffd fm,77.74196410179138,1900,0.2727272727272727
1182,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,kapov_ffd cm_fm,78.04241943359375,1900,0.19480519480519481
1183,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,92,kapov_ffd fm_cm,78.069491147995,1900,0.19480519480519481
1184,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,85,criaantes_bfd cm,77.44258522987366,1900,0.1038961038961039
1185,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,77,89,criaantes_bfd fm,77.25172567367554,1900,0.15584415584415584
